df1_index,df2_index,Song Name (df1),Artist (df1),Song Name (df2),Artist (df2)
0,2337,Breathe,Faith Hill,All About Us,He Is We
1,2337,I Wanna Know,Joe,All About Us,He Is We
2,2337,Higher,Creed,All About Us,He Is We
3,2337,Everything You Want,Vertical Horizon,All About Us,He Is We
4,2337,Kryptonite,3 Doors Down,All About Us,He Is We
5,2337,He Wasn't Man Enough,Toni Braxton,All About Us,He Is We
6,2337,Smooth,Santana Featuring Rob Thomas,All About Us,He Is We
7,2337,Bent,matchbox twenty,All About Us,He Is We
8,1133,The Way You Love Me,Faith Hill,Love It If We Made It,The 1975
9,2337,Amazed,Lonestar,All About Us,He Is We
10,2337,(Hot S**t) Country Grammar,Nelly,All About Us,He Is We
11,2337,With Arms Wide Open,Creed,All About Us,He Is We
12,2337,You Sang To Me,Marc Anthony,All About Us,He Is We
13,245,There You Go,P!nk,Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk
14,2337,Try Again,Aaliyah,All About Us,He Is We
15,2337,"Jumpin', Jumpin'",Destiny's Child,All About Us,He Is We
16,2337,Say My Name,Destiny's Child,All About Us,He Is We
17,386,Back Here,BBMak,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
18,2337,Thong Song,Sisqo,All About Us,He Is We
19,2337,I Try,Macy Gray,All About Us,He Is We
20,2337,Absolutely (Story Of A Girl),Nine Days,All About Us,He Is We
21,1000,Maria Maria,Santana Featuring The Product G&B,Found Me (feat. Maria Hazell),The Him
22,2337,Purest Of Pain (A Puro Dolor),Son By Four,All About Us,He Is We
23,2337,Desert Rose,Sting Featuring Cheb Mami,All About Us,He Is We
24,2337,Incomplete,Sisqo,All About Us,He Is We
25,386,No More,Ruff Endz,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
26,2337,It's Gonna Be Me,'N Sync,All About Us,He Is We
27,2337,I Need You,LeAnn Rimes,All About Us,He Is We
28,2337,I Need To Know,Marc Anthony,All About Us,He Is We
29,2337,Show Me The Meaning Of Being Lonely,Backstreet Boys,All About Us,He Is We
30,2337,It Feels So Good,Sonique,All About Us,He Is We
31,2337,Let's Get Married,Jagged Edge,All About Us,He Is We
32,2337,Doesn't Really Matter,Janet,All About Us,He Is We
33,2337,Faded,SoulDecision Featuring Thrust,All About Us,He Is We
34,2337,I Knew I Loved You,Savage Garden,All About Us,He Is We
35,2337,Bye Bye Bye,'N Sync,All About Us,He Is We
36,2337,Dance With Me,Debelah Morgan,All About Us,He Is We
37,2337,Get It On Tonite,Montell Jordan,All About Us,He Is We
