Year,Song Name,Artist,Number of Weeks On Top,Spotify ID
2000,Breathe,Faith Hill,45,3y4LxiYMgDl4RethdzpmNe
2000,I Wanna Know,Joe,44,1m2xMsxbtxv21Brome189p
2000,Higher,Creed,41,1ZozJfi8u9cO2Ob8KwiwNT
2000,Everything You Want,Vertical Horizon,41,4cKGldbhGJniI8BrB3K6tb
2000,Kryptonite,3 Doors Down,39,6ZOBP3NvffbU4SZcrnt1k6
2000,He Wasn't Man Enough,Toni Braxton,37,7f1Dmr246cJ9uQYdbplTbh
2000,Smooth,Santana Featuring Rob Thomas,36,2pX4FpOgwItRVPPUFdRcxA
2000,Bent,matchbox twenty,36,6fA7akEuTUL3dW1V0GELaZ
2000,The Way You Love Me,Faith Hill,35,6vgN6KGstss0GnBbKlMNK9
2000,Amazed,Lonestar,34,6qc34bnVOyqGDPni8H5W0U
2000,(Hot S**t) Country Grammar,Nelly,34,7hn8peg5yAXX1RCDFfyoYy
2000,With Arms Wide Open,Creed,34,0eKyHwckh9vQb8ncZ2DXCs
2000,You Sang To Me,Marc Anthony,32,2dwhMQsFeHr2S787WxqAqW
2000,There You Go,P!nk,32,6dJ2mSRaKE9ctYw9qWNGWQ
2000,Try Again,Aaliyah,32,0EvX3wUXm0Xds8ZTA7oXOJ
2000,"Jumpin', Jumpin'",Destiny's Child,32,4pmc2AxSEq6g7hPVlJCPyP
2000,Say My Name,Destiny's Child,31,7H6ev70Weq6DdpZyyTmUXk
2000,Back Here,BBMak,31,4D6bsg0MqGF0PIZLgDydWp
2000,Thong Song,Sisqo,28,5Mmk2ii6laakqfeCT7OnVD
2000,I Try,Macy Gray,27,5TAf4lnZCZTLlZHNZMLFLi
2000,Absolutely (Story Of A Girl),Nine Days,27,3mNecsYFb6LQg7822DPXCP
2000,Maria Maria,Santana Featuring The Product G&B,26,3XKIUb7HzIF1Vu9usunMzc
2000,Purest Of Pain (A Puro Dolor),Son By Four,26,6RUa3ZwZYnJnNgZxtIYJR9
2000,Desert Rose,Sting Featuring Cheb Mami,26,3zYufmyv6HOuiHn1eMR6Ja
2000,Incomplete,Sisqo,26,3w8Mw9GHYepoTWOSdiyosj
2000,No More,Ruff Endz,26,2WfhlEjoUII31H6imnQdvF
2000,It's Gonna Be Me,'N Sync,25,2AW37v0bDyuOzGP3XnmFuA
2000,I Need You,LeAnn Rimes,25,046MBhhgQJJghnbgZCkaAR
2000,I Need To Know,Marc Anthony,24,7ffwRz8lZyDOE4Vj58Lo72
2000,Show Me The Meaning Of Being Lonely,Backstreet Boys,24,3BsaRV5QIulYz2lV9WWa8T
2000,It Feels So Good,Sonique,24,4Y8q64VnhD0vFYy9g2WFpi
2000,Let's Get Married,Jagged Edge,24,0mDSPvA2OAgIsSiGGGAesm
2000,Doesn't Really Matter,Janet,24,0ekdT3jOhn3LinWtqHhmsw
2000,Faded,SoulDecision Featuring Thrust,24,4WP1XJnAUkZfTtMdZTaN9k
2000,I Knew I Loved You,Savage Garden,23,6nozDLxeL0TE4MS9GqYU1v
2000,Bye Bye Bye,'N Sync,23,62bOmKYxYg7dhrC6gH9vFn
2000,Dance With Me,Debelah Morgan,23,1C2Q3AymKS17bw7T5gfq6p
2000,Get It On Tonite,Montell Jordan,22,3ii5VBrIXJXKEVkjx1IAdP
2000,Never Let You Go,Third Eye Blind,22,1sxUaLi0G2vB7dl4ogtCxH
2000,Otherside,Red Hot Chili Peppers,22,64BbK9SFKH2jk86U3dGj2P
2000,I Turn To You,Christina Aguilera,22,4Do68W4FWO2hRAJCzG1lus
2000,Don't Think I'm Not,Kandi,22,487Dyzs7Xbbk4hIWYyYT80
2000,That's The Way It Is,Celine Dion,21,0aKWpnMZCR42M9lLhnzJEZ
2000,Party Up (Up In Here),DMX,21,4XSgaQfGgJ9FDCcvmOe404
2000,Wifey,Next,21,1NNDZc9BHaWe9JqIsPRlNV
2000,Wonderful,Everclear,21,0WHOPmOuQKuu05k4g3UTvk
2000,Come On Over Baby (All I Want Is You),Christina Aguilera,21,7A0apkTSTvMbSI7yplcmlh
2000,Music,Madonna,21,
2000,Most Girls,P!nk,21,635PqgECfFbL0MNLogX7Yv
2000,Falls Apart,Sugar Ray,20,4T7fVN4ZOFE3JoGyaxZL6O
2000,Back At One,Mark Wills,20,72MSivvHmzBcpSvcHRyf9b
2000,Forgot About Dre,Dr. Dre Featuring Eminem,20,7iXF2W9vKmDoGAhlHdpyIa
2000,The Best Day,George Strait,20,3fzDcbJZC7HoTHeH2Z1R4A
2000,From The Bottom Of My Broken Heart,Britney Spears,20,70XtWbcVZcpaOddJftMcVi
2000,How Do You Like Me Now?!,Toby Keith,20,7rDcULv8vV16vetBjPJhuE
2000,Lessons Learned,Tracy Lawrence,20,5ycxusRxQqTQYqrfU3iBLV
2000,I Don't Wanna,Aaliyah,20,5FqlfpjQDwRuGwZ5zrfdZa
2000,I Like It,Sammie,20,0IvTGWbNnCiUi9IOF7ye3F
2000,Love's The Only House,Martina McBride,20,4u4MbTQeHPbaGabd4eGf7c
2000,Only God Knows Why,Kid Rock,20,1rAzW6aco1ZtxLRx4XOagB
2000,Been There,Clint Black With Steve Wariner,20,3uvn72rlZyYA5sp5pgBJl6
2000,Carlene,Phil Vassar,20,339hc1FygD8oJl4kg24IjG
2000,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,20,2WmCJvoZ0J242JreLBr479
2000,She's More,Andy Griggs,20,0Us5VIixg0rHLIW9rDklyX
2000,Couldn't Last A Moment,Collin Raye,20,72mr7QyZEQbrX89SxtePOc
2000,I Wish,Carl Thomas,20,3lqT89gv8p3PYwXtr3ODjv
2000,Shackles (Praise You),Mary Mary,20,7JKEA8xYDoFp4q0QBW2PGg
2000,Unconditional,Clay Davidson,20,2vmL6YN8FcqbcHQcmv0BVh
2000,Be With You,Enrique Iglesias,20,2N4viTG9njqCa4c46YyWs1
2000,Swear It Again,Westlife,20,4ekWUsmWMaT5EI3VL0epBk
2000,Crash And Burn,Savage Garden,20,60g4sp8i3gXSb1EkphMl1g
2000,Better Off Alone,Alice Deejay,20,5XVjNRubJUW0iPhhSWpLCj
2000,Yes!,Chad Brock,20,1LuqK6QiebvOmpkRP1f8Jf
2000,The Chain Of Love,Clay Walker,20,68AhslXGVDKUUyHnDkORGF
2000,Oops!...I Did It Again,Britney Spears,20,6naxalmIoLFWR0siv8dnQQ
2000,Big Pimpin',Jay-Z Featuring UGK,20,7m97yKVzPpXV9Z4ezEziOD
2000,Broadway,Goo Goo Dolls,20,0RZuCBV900eNA2FXCQ3uUM
2000,Where I Wanna Be,Donell Jones,20,2uZwyxrg6VPvlVsvclIfel
2000,Separated,Avant,20,1L6qobenWeJHFUWWAr7rGW
2000,Flowers On The Wall,Eric Heatherly,20,38buCDomzeOx85MeoDJgQ7
2000,Prayin' For Daylight,Rascal Flatts,20,0DAVCurdi9ZqkVUKIuikzm
2000,I Hope You Dance,Lee Ann Womack,20,65B1tEOv5W294uCKbmEcFV
2000,I Disappear,Metallica,20,46tSt69Xw10Ej8Rn7wJmFt
2000,I'll Be,Reba McEntire,20,7e9p7zLR9k7v5QQmXlsDaS
2000,The Next Episode,Dr. Dre Featuring Snoop Dogg,20,4LwU4Vp6od3Sb08CsP99GC
2000,What'Chu Like,Da Brat Featuring Tyrese,20,5d8woPn6sHRA6yPnnHnqSt
2000,What About Now,Lonestar,20,1xK2NkwOfT8qZYWPossXGz
2000,It Must Be Love,Alan Jackson,20,16OFkCrdYH524sqvTPt6CT
2000,That's The Way,Jo Dee Messina,20,296XGtH5MeGisqD3uAz6Q6
2000,Taking You Home,Don Henley,20,7AoJXxRBfLVF2Dpx75lcg9
2000,What You Want,DMX Featuring Sisqo,20,0xT3Fg571q1iFjLe897ZYX
2000,Don't Call Me Baby,Madison Avenue,20,5GguB1QMdud2FWbs5VHAzB
2000,Change Your Mind,Sister Hazel,20,3PuoEoC2QYXUJPk1DObFsU
2000,I Will...But,SHeDAISY,20,0oP29136UYddJ9DnGpKKQg
2000,Who Let The Dogs Out,Baha Men,20,1H5tvpoApNDxvxDexoaAUo
2000,Last Resort,Papa Roach,20,5W8YXBz9MTIDyrpYaCg2Ky
2000,Just Be A Man About It,Toni Braxton,20,6kD36kVRn5leDDbjXpHQY0
2000,It's My Life,Bon Jovi,20,0v1XpBHnsbkCn7iJ9Ucr1l
2000,Shake Ya Ass,Mystikal,20,1jRzdY7oUBOhrylNtiMtBD
2000,Give Me Just One Night (Una Noche),98 Degrees,20,1OvjOVieEsYqGiK1T3mUv9
2001,Hanging By A Moment,Lifehouse,47,6jWLyg8AuMQ9LtIB2UlfOF
2001,Drops Of Jupiter (Tell Me),Train,42,2hKdd3qO7cWr2Jo0Bcs0MA
2001,Thank You,Dido,39,09CnYHiZ5jGT1wr1TXJ9Zt
2001,Drive,Incubus,39,7nnWIPM5hwE3DaUBkvOIpy
2001,It's Been Awhile,Staind,38,1BExV8JprNJLvLeDE9qdEW
2001,Hit 'Em Up Style (Oops!),Blu Cantrell,34,4zYTZvtcww7OWKie7fxA9E
2001,Follow Me,Uncle Kracker,33,4KoecuyOpZaNFZ0UqVsllc
